experiment,level,map_seed,planner_seed,method,variant,success,planning_time,first_solution_iteration,node_count,path_length,reverse_length,switch_count
density,10,0,0,Hybrid,Hybrid,1,1.2873120307922363,64,99,135.53654343554274,0.0,0
density,10,0,1,GoalBias,GoalBias,1,2.549955129623413,75,152,135.6016023489319,0.0,0
density,10,0,1,Hybrid,Hybrid,1,2.7154829502105713,104,127,154.3891599478485,0.0,0
density,10,0,2,GoalBias,GoalBias,1,1.5773470401763916,44,124,142.55220502132,0.0,0
density,10,0,2,Hybrid,Hybrid,1,1.6474878787994385,68,107,148.60372950247867,0.0,0
density,10,0,0,RRT*,RRT*,1,5.1998820304870605,227,295,135.96502762639483,0.0,0
density,10,0,3,Hybrid,Hybrid,1,1.1677289009094238,48,94,122.38401326152282,0.0,0
density,10,0,3,GoalBias,GoalBias,1,2.1129770278930664,117,153,134.59750669915277,0.0,0
density,10,0,0,GoalBias,GoalBias,1,7.186491966247559,307,352,147.15776981282932,0.0,0
density,10,0,4,GoalBias,GoalBias,1,1.9322190284729004,67,139,113.7111216368401,0.0,0
density,10,0,4,Hybrid,Hybrid,1,2.466108798980713,63,131,111.70032229445506,0.0,0
density,10,0,1,RRT*,RRT*,1,10.095124959945679,438,519,181.1446862635967,0.0,0
density,10,0,2,RRT*,RRT*,1,8.83762812614441,377,462,192.20905004982933,0.0,0
density,10,0,4,RRT*,RRT*,1,4.505321264266968,166,254,153.50736028702343,0.0,0
density,10,0,5,Hybrid,Hybrid,1,1.304353952407837,55,104,111.061078901883,0.0,0
density,10,0,6,GoalBias,GoalBias,1,1.7725129127502441,59,127,118.11771080144828,0.0,0
density,10,0,6,Hybrid,Hybrid,1,1.2201809883117676,45,101,142.98018119515862,0.0,0
density,10,0,3,RRT*,RRT*,1,8.691157102584839,408,484,163.97000157231946,0.0,0
density,10,0,5,GoalBias,GoalBias,1,3.7112350463867188,147,229,125.18755330918974,0.0,0
density,10,0,7,Hybrid,Hybrid,1,2.0208868980407715,69,114,138.30976635520548,0.0,0
density,10,0,7,GoalBias,GoalBias,1,2.236412763595581,115,157,143.3877961960812,0.0,0
density,10,0,6,RRT*,RRT*,1,4.866666078567505,202,280,170.05549969456962,0.0,0
density,10,0,7,RRT*,RRT*,1,3.0966577529907227,127,224,145.05364529319766,0.0,0
density,10,0,5,RRT*,RRT*,1,7.701970100402832,371,446,144.720862344556,0.0,0
density,10,0,8,Hybrid,Hybrid,1,1.598313808441162,58,110,155.16181014041658,0.0,0
density,10,0,8,GoalBias,GoalBias,1,1.9188809394836426,98,135,115.62992724193273,0.0,0
density,10,0,8,RRT*,RRT*,1,3.542759895324707,136,240,162.38441617271673,0.0,0
density,10,0,9,Hybrid,Hybrid,1,1.1496098041534424,55,91,133.75106842212952,0.0,0
density,10,0,9,GoalBias,GoalBias,1,1.5748701095581055,45,120,122.63131416784346,0.0,0
density,10,1,0,GoalBias,GoalBias,1,2.3570101261138916,91,161,132.2770720160095,0.0,0
density,10,1,1,GoalBias,GoalBias,1,2.8276519775390625,91,171,110.294333954837,0.0,0
density,10,1,1,Hybrid,Hybrid,1,1.0862030982971191,29,78,132.81110112102152,0.0,0
density,10,1,2,GoalBias,GoalBias,1,1.6951322555541992,41,121,115.2270476652311,0.0,0
density,10,1,2,Hybrid,Hybrid,1,0.9483671188354492,38,83,119.69162450309625,0.0,0
density,10,1,0,RRT*,RRT*,1,6.42625093460083,285,359,169.20965273255723,0.0,0
density,10,1,0,Hybrid,Hybrid,1,6.942294120788574,311,271,189.58010860349515,0.0,0
density,10,1,3,GoalBias,GoalBias,1,1.6394648551940918,52,122,125.48039068953872,0.0,0
density,10,1,2,RRT*,RRT*,1,4.950201988220215,244,291,169.92149958286117,0.0,0
density,10,1,3,Hybrid,Hybrid,1,1.6785321235656738,121,117,136.19897250472656,0.0,0
density,10,1,4,GoalBias,GoalBias,1,1.7881019115447998,68,141,114.08234067674057,0.0,0
density,10,1,4,Hybrid,Hybrid,1,2.452554702758789,224,152,159.90297526656317,0.0,0
density,10,1,1,RRT*,RRT*,1,10.710602045059204,488,570,153.8857449145979,0.0,0
density,10,1,5,Hybrid,Hybrid,1,1.2728362083435059,57,97,160.91117368623665,0.0,0
density,10,1,5,RRT*,RRT*,1,3.1167640686035156,135,211,129.6678446933662,0.0,0
density,10,1,5,GoalBias,GoalBias,1,2.902631998062134,137,178,127.97803449590447,0.0,0
density,10,1,3,RRT*,RRT*,1,8.795263051986694,404,463,167.6579655345051,0.0,0
density,10,1,4,RRT*,RRT*,1,7.47773003578186,328,412,144.47653462610648,0.0,0
density,10,1,6,Hybrid,Hybrid,1,1.3180580139160156,45,100,123.00103796334001,0.0,0
density,10,0,9,RRT*,RRT*,1,17.53821086883545,737,802,211.47053531650107,0.0,0
density,10,1,7,GoalBias,GoalBias,1,1.6300468444824219,47,116,127.48477071839129,0.0,0
density,10,1,7,Hybrid,Hybrid,1,2.3705179691314697,103,126,110.46224740957523,0.0,0
density,10,1,6,RRT*,RRT*,1,5.4640281200408936,251,304,170.20636033466948,0.0,0
density,10,1,8,GoalBias,GoalBias,1,1.9604051113128662,108,152,152.176569867177,0.0,0
density,10,1,8,Hybrid,Hybrid,1,1.795423984527588,88,120,123.47788104433702,0.0,0
density,10,1,9,GoalBias,GoalBias,1,1.5061280727386475,45,109,121.65738868862216,0.0,0
density,10,1,8,RRT*,RRT*,1,5.691739797592163,252,339,124.04570393966274,0.0,0
density,10,1,9,Hybrid,Hybrid,1,2.716837167739868,82,119,154.00894621949712,0.0,0
density,10,1,7,RRT*,RRT*,1,7.772923707962036,390,464,152.07893251417119,0.0,0
density,10,2,0,Hybrid,Hybrid,1,0.9402728080749512,34,82,113.20814711055138,0.0,0
density,10,2,0,GoalBias,GoalBias,1,2.367799758911133,85,147,123.97710205158015,0.0,0
density,10,1,6,GoalBias,GoalBias,1,11.139189004898071,373,437,188.15022003779865,0.0,0
density,10,2,1,Hybrid,Hybrid,1,1.5243349075317383,70,107,164.0596092929214,0.0,0
density,10,2,1,GoalBias,GoalBias,1,2.739042043685913,91,163,109.70955812017986,0.0,0
density,10,2,0,RRT*,RRT*,1,6.124385118484497,296,360,136.43207497476862,0.0,0
density,10,2,2,GoalBias,GoalBias,1,1.6820759773254395,46,129,125.74407287053661,0.0,0
density,10,2,3,GoalBias,GoalBias,1,1.648475170135498,52,137,122.48770220346984,0.0,0
density,10,2,2,Hybrid,Hybrid,1,2.819453716278076,102,139,107.805446922488,0.0,0
density,10,1,9,RRT*,RRT*,1,10.974171876907349,488,550,161.02018186311253,0.0,0
density,10,2,1,RRT*,RRT*,1,6.5572803020477295,336,369,167.71499205762177,0.0,0
density,10,2,2,RRT*,RRT*,1,5.759434938430786,291,330,160.5989653392682,0.0,0
density,10,2,3,Hybrid,Hybrid,1,1.4392058849334717,54,99,118.93583064157183,0.0,0
density,10,2,4,Hybrid,Hybrid,1,1.9187839031219482,109,128,140.9345648242911,0.0,0
density,10,2,5,Hybrid,Hybrid,1,1.0594532489776611,49,92,146.94673625641775,0.0,0
density,10,2,5,GoalBias,GoalBias,1,3.381566047668457,156,229,136.61850661952377,0.0,0
density,10,2,5,RRT*,RRT*,1,3.770076036453247,168,241,136.0230415251122,0.0,0
density,10,2,6,Hybrid,Hybrid,1,1.155040979385376,42,89,123.69414544952038,0.0,0
density,10,2,6,GoalBias,GoalBias,1,2.185074806213379,47,123,129.20349095731805,0.0,0
density,10,2,6,RRT*,RRT*,1,3.5153799057006836,135,193,143.1463879584852,0.0,0
density,10,2,4,GoalBias,GoalBias,1,7.440603017807007,280,322,133.97109220622423,0.0,0
density,10,2,3,RRT*,RRT*,1,10.465877056121826,481,540,149.61063462210518,0.0,0
density,10,2,7,Hybrid,Hybrid,1,1.3549671173095703,65,96,120.11818388105605,0.0,0
density,10,2,7,GoalBias,GoalBias,1,1.7722837924957275,39,123,137.97357158300494,0.0,0
density,10,2,4,RRT*,RRT*,1,9.204149007797241,430,431,190.70810459694798,0.0,0
density,10,2,8,Hybrid,Hybrid,1,0.9637260437011719,35,87,117.19861163603188,0.0,0
density,10,2,8,GoalBias,GoalBias,1,1.5758259296417236,48,121,108.44915600014792,0.0,0
density,10,2,7,RRT*,RRT*,1,3.5562658309936523,164,247,121.53631913588687,0.0,0
density,10,2,8,RRT*,RRT*,1,3.040903091430664,123,212,135.85558636013585,0.0,0
density,10,2,9,GoalBias,GoalBias,1,1.5775322914123535,46,122,128.1502986307828,0.0,0
density,10,3,0,GoalBias,GoalBias,1,1.603025197982788,50,125,119.22119141467998,0.0,0
density,10,3,0,Hybrid,Hybrid,1,1.350147008895874,54,97,146.6935455845496,0.0,0
density,10,2,9,Hybrid,Hybrid,1,3.950368881225586,126,172,119.19293537244259,0.0,0
density,10,3,1,Hybrid,Hybrid,1,1.317375898361206,42,97,112.44373676873458,0.0,0
density,10,2,9,RRT*,RRT*,1,5.217602014541626,254,320,120.36224893922517,0.0,0
density,10,3,1,GoalBias,GoalBias,1,3.007261276245117,110,174,107.6804158779003,0.0,0
density,10,3,2,GoalBias,GoalBias,1,1.651688814163208,46,125,122.1538773793811,0.0,0
density,10,3,3,GoalBias,GoalBias,1,1.797677755355835,53,135,123.17162997344688,0.0,0
density,10,3,2,Hybrid,Hybrid,1,3.516052007675171,134,160,144.3416516563019,0.0,0
density,10,3,1,RRT*,RRT*,1,6.881223917007446,328,369,168.71632967109034,0.0,0
density,10,3,3,Hybrid,Hybrid,1,1.5725040435791016,63,110,159.93635663474745,0.0,0
density,10,3,4,Hybrid,Hybrid,1,0.9648950099945068,32,88,110.14445791659477,0.0,0
density,10,3,4,GoalBias,GoalBias,1,1.9678261280059814,68,141,141.087684426944,0.0,0
density,10,3,2,RRT*,RRT*,1,8.591745138168335,351,423,138.90963702518613,0.0,0
density,10,3,0,RRT*,RRT*,1,12.200857877731323,583,584,197.1866555123818,0.0,0
density,10,3,5,GoalBias,GoalBias,1,2.6930389404296875,165,161,159.32845568531545,0.0,0
density,10,3,3,RRT*,RRT*,1,8.436906099319458,352,415,177.9478320008115,0.0,0
density,10,3,4,RRT*,RRT*,1,5.690256834030151,265,316,168.4710233478198,0.0,0
density,10,3,5,Hybrid,Hybrid,1,1.3624298572540283,57,105,120.71172350594723,0.0,0
density,10,3,6,Hybrid,Hybrid,1,1.2143769264221191,42,94,152.573223844431,0.0,0
density,10,3,7,GoalBias,GoalBias,1,1.7637560367584229,47,129,148.06544367352058,0.0,0
density,10,3,7,Hybrid,Hybrid,1,1.145561933517456,39,83,138.6971742551043,0.0,0
density,10,3,6,GoalBias,GoalBias,1,3.384330987930298,193,198,146.06028211672844,0.0,0
density,10,3,5,RRT*,RRT*,1,7.543544054031372,365,448,142.3742655812662,0.0,0
density,10,3,8,GoalBias,GoalBias,1,1.8906590938568115,77,146,93.69954659694014,0.0,0
density,10,3,8,Hybrid,Hybrid,1,1.6118910312652588,77,116,125.93137014030074,0.0,0
density,10,3,8,RRT*,RRT*,1,3.4485890865325928,113,207,153.8492879255911,0.0,0
density,10,3,9,GoalBias,GoalBias,1,1.599975824356079,48,123,155.32281074843596,0.0,0
density,10,4,0,GoalBias,GoalBias,1,1.9845681190490723,73,144,132.88677570168082,0.0,0
density,10,4,0,RRT*,RRT*,1,3.6364569664001465,175,236,176.22171172960822,0.0,0
density,10,4,0,Hybrid,Hybrid,1,2.5134098529815674,87,141,110.87763182894881,0.0,0
density,10,3,9,Hybrid,Hybrid,1,6.180893182754517,161,196,113.17435736503859,0.0,0
density,10,4,1,Hybrid,Hybrid,1,1.2514851093292236,44,97,149.2058288454227,0.0,0
density,10,3,9,RRT*,RRT*,1,8.203809022903442,391,446,159.8639045427752,0.0,0
density,10,4,1,GoalBias,GoalBias,1,2.6091198921203613,91,155,105.88479217972645,0.0,0
density,10,3,7,RRT*,RRT*,1,12.819983959197998,571,638,174.6499466017473,0.0,0
density,10,4,1,RRT*,RRT*,1,4.001084089279175,166,247,160.73785877606696,0.0,0
density,10,3,6,RRT*,RRT*,1,14.231138229370117,589,612,150.95940202476845,0.0,0
density,10,4,2,GoalBias,GoalBias,1,1.5599186420440674,46,123,117.55618615798508,0.0,0
density,10,4,2,Hybrid,Hybrid,1,1.125762939453125,36,85,118.00187835238691,0.0,0
density,10,4,3,Hybrid,Hybrid,1,1.0542480945587158,43,97,132.7738139340697,0.0,0
density,10,4,3,GoalBias,GoalBias,1,1.803063154220581,52,131,125.62592609963016,0.0,0
density,10,4,4,Hybrid,Hybrid,1,1.176295280456543,31,81,109.4324235663144,0.0,0
density,10,4,4,GoalBias,GoalBias,1,2.174463987350464,68,142,114.60824821970274,0.0,0
density,10,4,5,Hybrid,Hybrid,1,1.3123531341552734,69,106,158.1098528001993,0.0,0
density,10,4,5,GoalBias,GoalBias,1,3.709038019180298,147,224,128.25896196571054,0.0,0
density,10,4,2,RRT*,RRT*,1,7.730525970458984,311,377,140.11782307710308,0.0,0
density,10,4,5,RRT*,RRT*,1,5.038217067718506,217,312,164.05311116464367,0.0,0
density,10,4,6,Hybrid,Hybrid,1,1.1484110355377197,47,98,111.97109808462879,0.0,0
density,10,4,6,GoalBias,GoalBias,1,1.971503734588623,47,130,129.20349095731805,0.0,0
density,10,4,3,RRT*,RRT*,1,8.663823127746582,380,440,164.0910450047924,0.0,0
density,10,4,6,RRT*,RRT*,1,4.4442408084869385,220,274,150.12980740549233,0.0,0
density,10,4,7,Hybrid,Hybrid,1,0.9815740585327148,35,76,140.69239462802972,0.0,0
density,10,4,7,GoalBias,GoalBias,1,2.2177438735961914,39,122,141.2392256227181,0.0,0
density,10,4,7,RRT*,RRT*,1,3.6149191856384277,127,221,157.77085822181832,0.0,0
density,10,4,8,Hybrid,Hybrid,1,1.5712158679962158,49,99,128.84124260750673,0.0,0
density,10,4,8,GoalBias,GoalBias,1,2.060995101928711,48,128,108.44915600014792,0.0,0
density,10,4,9,Hybrid,Hybrid,1,0.9789209365844727,35,79,147.9504483469812,0.0,0
density,10,4,9,GoalBias,GoalBias,1,1.69240403175354,46,125,128.1502986307828,0.0,0
density,10,4,8,RRT*,RRT*,1,3.79197096824646,136,225,127.79646104504205,0.0,0
density,20,0,0,GoalBias,GoalBias,1,3.323489189147949,111,147,120.91699186694169,0.0,0
density,20,0,0,Hybrid,Hybrid,1,4.809762001037598,146,167,123.73932692612564,0.0,0
density,20,0,1,GoalBias,GoalBias,1,4.221729040145874,75,141,124.9596390135358,0.0,0
density,10,4,9,RRT*,RRT*,1,9.364531993865967,398,473,156.025075536688,0.0,0
density,10,4,4,RRT*,RRT*,1,18.647883892059326,646,719,140.7847714231896,0.0,0
density,20,0,1,Hybrid,Hybrid,1,4.861970901489258,126,164,143.48769114031785,0.0,0
density,20,0,2,GoalBias,GoalBias,1,4.2964441776275635,106,166,144.64632680091438,0.0,0
density,20,0,2,Hybrid,Hybrid,1,6.323907136917114,158,185,147.8919447734734,0.0,0
density,20,0,3,GoalBias,GoalBias,1,3.859384059906006,117,149,136.37120322298657,0.0,0
density,20,0,0,RRT*,RRT*,1,16.76584792137146,511,467,169.74761336823593,0.0,0
density,20,0,3,Hybrid,Hybrid,1,3.091236114501953,78,120,132.34573050977653,0.0,0
density,20,0,1,RRT*,RRT*,1,17.08939790725708,507,482,174.4731374007815,0.0,0
density,20,0,4,GoalBias,GoalBias,1,3.079218864440918,67,122,122.51908051648618,0.0,0
density,20,0,4,Hybrid,Hybrid,1,3.0037617683410645,82,97,126.29624748778839,0.0,0
density,20,0,2,RRT*,RRT*,1,13.813984155654907,377,386,151.93373975664332,0.0,0
density,20,0,5,GoalBias,GoalBias,1,4.284128189086914,147,157,147.50753393123145,0.0,0
density,20,0,5,Hybrid,Hybrid,1,4.026252031326294,244,145,160.57413583484401,0.0,0
density,20,0,5,RRT*,RRT*,1,6.705090045928955,217,256,152.09805002702677,0.0,0
density,20,0,6,Hybrid,Hybrid,1,2.6960718631744385,104,121,117.7243371757303,0.0,0
density,20,0,4,RRT*,RRT*,1,12.75248908996582,364,388,165.6461407689974,0.0,0
density,20,0,7,RRT*,RRT*,1,4.693773984909058,112,190,149.04176141128477,0.0,0
density,20,0,6,RRT*,RRT*,1,8.44594407081604,220,287,160.8254339474347,0.0,0
density,20,0,6,GoalBias,GoalBias,1,6.395761013031006,237,246,162.53678737781408,0.0,0
density,20,0,7,GoalBias,GoalBias,1,5.6274518966674805,176,186,111.76276963404891,0.0,0
density,20,0,8,GoalBias,GoalBias,1,3.1031742095947266,113,138,123.92492448730111,0.0,0
density,20,0,9,GoalBias,GoalBias,1,3.290087938308716,65,130,116.96459311949292,0.0,0
density,20,0,3,RRT*,RRT*,1,26.71501588821411,676,681,154.7220924080244,0.0,0
density,20,0,8,Hybrid,Hybrid,1,7.167028903961182,176,184,116.67307240289661,0.0,0
density,20,0,8,RRT*,RRT*,1,9.780817985534668,339,307,116.70377502503852,0.0,0
density,20,1,0,GoalBias,GoalBias,1,4.314605712890625,118,137,96.7180096164905,0.0,0
density,20,0,7,Hybrid,Hybrid,1,17.091425895690918,252,235,131.62777159371922,0.0,0
density,20,1,1,GoalBias,GoalBias,1,2.4989230632781982,76,110,111.10876622848153,0.0,0
density,20,0,9,RRT*,RRT*,1,16.80433487892151,488,501,139.98951265633835,0.0,0
density,20,0,9,Hybrid,Hybrid,1,14.542242050170898,228,251,170.25927377289818,0.0,0
density,20,1,0,RRT*,RRT*,1,14.987182140350342,453,456,99.54333845495002,0.0,0
density,20,1,2,GoalBias,GoalBias,1,3.019897699356079,78,137,83.68734869752946,0.0,0
density,20,1,1,Hybrid,Hybrid,1,7.67674994468689,61,160,120.74908912548138,0.0,0
density,20,1,3,GoalBias,GoalBias,1,2.855894088745117,64,134,136.84986360889093,0.0,0
density,20,1,2,Hybrid,Hybrid,1,7.034358978271484,94,175,121.10653917294096,0.0,0
density,20,1,2,RRT*,RRT*,1,10.992406845092773,376,370,143.31425534464256,0.0,0
density,20,1,0,Hybrid,Hybrid,1,23.723373889923096,547,429,118.32047985245859,0.0,0
density,20,1,4,GoalBias,GoalBias,1,4.115408897399902,161,149,127.4165088261974,0.0,0
density,20,1,3,RRT*,RRT*,1,10.959171056747437,378,397,163.00691215772966,0.0,0
density,20,1,1,RRT*,RRT*,1,25.28865885734558,754,664,143.24879645853113,0.0,0
density,20,1,5,GoalBias,GoalBias,1,2.781704902648926,41,111,151.447807087063,0.0,0
density,20,1,3,Hybrid,Hybrid,1,8.902280330657959,80,169,109.64308465448265,0.0,0
density,20,1,5,RRT*,RRT*,1,5.607790946960449,210,215,113.67188239973704,0.0,0
density,20,1,6,GoalBias,GoalBias,1,3.5495729446411133,107,151,120.67849983078571,0.0,0
density,20,1,6,RRT*,RRT*,1,4.859760046005249,144,204,142.57221058652905,0.0,0
density,20,1,7,RRT*,RRT*,1,2.7660748958587646,96,141,139.50353465967527,0.0,0
density,20,1,4,RRT*,RRT*,1,15.650249004364014,551,471,118.38052057293876,0.0,0
density,20,1,8,RRT*,RRT*,1,4.565394878387451,136,171,154.16167263866302,0.0,0
density,20,1,7,Hybrid,Hybrid,1,6.676831960678101,89,165,117.76408425903615,0.0,0
density,20,1,4,Hybrid,Hybrid,1,17.856268167495728,333,326,117.08168966939776,0.0,0
density,20,1,8,GoalBias,GoalBias,1,3.2502620220184326,116,129,113.85540112397278,0.0,0
density,20,1,7,GoalBias,GoalBias,1,10.478705883026123,445,299,113.86260137673843,0.0,0
density,20,1,9,GoalBias,GoalBias,1,2.538648843765259,64,111,150.21054245087103,0.0,0
density,20,1,9,Hybrid,Hybrid,1,4.934208154678345,32,153,112.0823516922112,0.0,0
density,20,2,0,GoalBias,GoalBias,1,3.2097508907318115,85,127,132.47965467115213,0.0,0
density,20,2,0,Hybrid,Hybrid,1,1.879300832748413,48,93,118.35186853867954,0.0,0
density,20,2,0,RRT*,RRT*,1,8.277295112609863,282,296,189.17403298398207,0.0,0
density,20,1,5,Hybrid,Hybrid,1,30.07534694671631,614,586,152.11425928202215,0.0,0
density,20,2,1,GoalBias,GoalBias,1,4.427516937255859,92,156,109.70955812017986,0.0,0
density,20,2,1,Hybrid,Hybrid,1,2.3895819187164307,69,105,151.21144161684748,0.0,0
density,20,2,2,GoalBias,GoalBias,1,4.950800895690918,211,206,161.1109616867328,0.0,0
density,20,2,2,RRT*,RRT*,1,10.205941915512085,322,347,128.26430304520653,0.0,0
density,20,1,9,RRT*,RRT*,1,27.914017915725708,781,638,183.93108399045104,0.0,0
density,20,2,2,Hybrid,Hybrid,1,4.932379961013794,317,128,137.45265153886155,0.0,0
density,20,2,1,RRT*,RRT*,1,17.125011920928955,472,513,153.86754163031813,0.0,0
density,20,2,3,GoalBias,GoalBias,1,2.693819761276245,52,136,122.48770220346984,0.0,0
density,20,2,3,Hybrid,Hybrid,1,2.297050952911377,97,117,152.14734804998673,0.0,0
density,20,2,4,Hybrid,Hybrid,1,2.105539083480835,66,95,156.18340090931778,0.0,0
density,20,1,8,Hybrid,Hybrid,1,35.15518283843994,397,411,129.34337754940103,0.0,0
density,20,2,3,RRT*,RRT*,1,8.546746969223022,288,324,127.37075947814638,0.0,0
density,20,2,5,RRT*,RRT*,1,3.7376320362091064,177,163,120.71879205072707,0.0,0
density,20,2,5,Hybrid,Hybrid,1,1.5884690284729004,52,87,130.68558459025883,0.0,0
density,20,2,6,GoalBias,GoalBias,1,2.63451886177063,47,111,129.20349095731805,0.0,0
density,20,2,6,RRT*,RRT*,1,5.153202772140503,164,196,171.70838989323062,0.0,0
density,20,2,5,GoalBias,GoalBias,1,6.705309867858887,230,256,173.07938232935652,0.0,0
density,20,2,6,Hybrid,Hybrid,1,1.9842901229858398,57,94,120.5045581679393,0.0,0
density,20,2,4,RRT*,RRT*,1,15.096106052398682,517,487,187.84660006084374,0.0,0
density,20,2,7,Hybrid,Hybrid,1,2.8262150287628174,165,120,149.44598231665753,0.0,0
density,20,2,7,RRT*,RRT*,1,4.873906135559082,164,234,102.0816390818182,0.0,0
density,20,2,7,GoalBias,GoalBias,1,5.229619264602661,165,209,145.93455604145063,0.0,0
density,20,2,8,GoalBias,GoalBias,1,3.456393241882324,135,148,114.5401575065633,0.0,0
density,20,2,8,RRT*,RRT*,1,4.432989835739136,123,206,137.3876765167759,0.0,0
density,20,2,8,Hybrid,Hybrid,1,2.486686944961548,81,121,150.42671600137348,0.0,0
density,20,2,9,Hybrid,Hybrid,1,1.6291980743408203,41,80,155.72971128868303,0.0,0
density,20,2,9,GoalBias,GoalBias,1,2.9635188579559326,82,131,137.58788061385735,0.0,0
density,20,3,0,GoalBias,GoalBias,1,2.404500961303711,50,124,116.26999961564978,0.0,0
density,20,1,6,Hybrid,Hybrid,1,67.88306903839111,689,648,126.50103359345074,0.0,0
density,20,3,0,RRT*,RRT*,1,8.668060779571533,302,348,155.31350565203522,0.0,0
density,20,3,1,Hybrid,Hybrid,1,1.889685869216919,48,95,144.07814340555018,0.0,0
density,20,3,1,RRT*,RRT*,1,7.065486907958984,316,254,149.95758277215842,0.0,0
density,20,3,1,GoalBias,GoalBias,1,4.646946907043457,223,179,137.98489507126456,0.0,0
density,20,3,0,Hybrid,Hybrid,1,10.76455020904541,189,171,138.56372503544483,0.0,0
density,20,3,2,Hybrid,Hybrid,1,2.284075975418091,55,105,149.74030338498815,0.0,0
density,20,3,2,GoalBias,GoalBias,1,6.662582874298096,333,278,157.10495440746047,0.0,0
density,20,3,2,RRT*,RRT*,1,8.033397912979126,280,342,154.27169644007628,0.0,0
density,20,3,3,Hybrid,Hybrid,1,1.7025527954101562,48,86,118.28508096612215,0.0,0
density,20,2,9,RRT*,RRT*,1,23.337109088897705,716,718,133.57599921568607,0.0,0
density,20,3,3,GoalBias,GoalBias,1,7.235008001327515,230,229,153.9374160627712,0.0,0
density,20,3,4,Hybrid,Hybrid,1,1.5419270992279053,40,89,107.74289642573635,0.0,0
density,20,3,3,RRT*,RRT*,1,10.040848970413208,335,383,151.39177769796322,0.0,0
density,20,3,5,Hybrid,Hybrid,1,1.9620862007141113,88,89,116.26158193739305,0.0,0
density,20,3,4,RRT*,RRT*,1,7.389625072479248,256,246,170.1658845479463,0.0,0
density,20,3,5,RRT*,RRT*,1,5.124882936477661,209,231,169.01876535125632,0.0,0
density,20,3,5,GoalBias,GoalBias,1,6.603341817855835,419,204,151.45612849511758,0.0,0
density,20,3,6,Hybrid,Hybrid,1,2.1284327507019043,138,106,125.78337511025333,0.0,0
density,20,3,6,GoalBias,GoalBias,1,6.768586874008179,225,171,136.4701124730515,0.0,0
density,20,3,7,GoalBias,GoalBias,1,3.3999290466308594,57,123,114.93692398843125,0.0,0
density,20,3,7,Hybrid,Hybrid,1,2.238682746887207,101,114,134.0356451737527,0.0,0
density,20,3,7,RRT*,RRT*,1,5.5134031772613525,180,234,160.56842493035523,0.0,0
density,20,3,4,GoalBias,GoalBias,1,16.376179218292236,588,544,115.1998832818385,0.0,0
density,20,3,8,RRT*,RRT*,1,4.84743595123291,154,209,119.59201429782739,0.0,0
density,20,3,8,GoalBias,GoalBias,1,2.917088747024536,87,146,140.41177703305897,0.0,0
density,20,3,8,Hybrid,Hybrid,1,3.1543800830841064,63,111,89.84616013072412,0.0,0
density,20,3,9,GoalBias,GoalBias,1,2.461116075515747,59,111,151.698009699429,0.0,0
density,20,4,0,GoalBias,GoalBias,1,2.9825949668884277,73,144,132.88677570168082,0.0,0
density,20,4,0,RRT*,RRT*,1,5.354162931442261,175,229,176.22171172960822,0.0,0
density,20,2,4,GoalBias,GoalBias,1,62.37050223350525,773,739,154.25539881521493,0.0,0
density,20,3,9,Hybrid,Hybrid,1,7.234764099121094,180,200,115.53998008648102,0.0,0
density,20,4,1,Hybrid,Hybrid,1,2.7316067218780518,121,142,134.29055879359709,0.0,0
density,20,4,0,Hybrid,Hybrid,1,5.483503103256226,177,201,165.95278182128888,0.0,0
density,20,4,2,GoalBias,GoalBias,1,2.257938861846924,46,121,136.29410487986829,0.0,0
density,20,4,1,RRT*,RRT*,1,8.517074346542358,314,349,182.88866183433453,0.0,0
density,20,4,1,GoalBias,GoalBias,1,10.686447143554688,266,308,138.27712797977313,0.0,0
density,20,4,2,Hybrid,Hybrid,1,5.529649972915649,295,227,143.1083056460692,0.0,0
density,20,3,9,RRT*,RRT*,1,21.946254014968872,634,657,173.84626607445955,0.0,0
density,20,4,3,GoalBias,GoalBias,1,3.3605120182037354,116,164,145.82788003132563,0.0,0
density,20,4,2,RRT*,RRT*,1,12.738315105438232,401,454,174.30852675170718,0.0,0
density,20,4,3,Hybrid,Hybrid,1,4.983170986175537,113,146,191.55079703479794,0.0,0
density,20,4,4,Hybrid,Hybrid,1,3.3681728839874268,76,133,152.94712453679662,0.0,0
density,20,4,4,GoalBias,GoalBias,1,6.484177350997925,212,242,116.61211647867285,0.0,0
density,20,4,4,RRT*,RRT*,1,7.196081876754761,232,301,148.18375425583386,0.0,0
density,20,4,3,RRT*,RRT*,1,13.770743131637573,423,454,173.1968542975272,0.0,0
density,20,3,6,RRT*,RRT*,1,41.66602802276611,1094,1049,157.03825685468422,0.0,0
density,20,4,5,Hybrid,Hybrid,1,2.500279188156128,113,119,146.3560558092003,0.0,0
density,20,4,5,RRT*,RRT*,1,7.0145838260650635,217,290,164.05311116464367,0.0,0
density,20,4,6,Hybrid,Hybrid,1,2.208178758621216,115,109,109.47129017801576,0.0,0
density,20,4,6,GoalBias,GoalBias,1,3.371448278427124,79,135,124.79613971528849,0.0,0
density,20,4,7,RRT*,RRT*,1,3.5304760932922363,84,170,147.4479010068485,0.0,0
density,20,4,6,RRT*,RRT*,1,6.398770332336426,220,268,136.67638372881316,0.0,0
density,20,4,7,Hybrid,Hybrid,1,2.432375192642212,97,117,145.49372010315503,0.0,0
